ASN_Number,ASN_description,ASN_Country_Code,IP_Type,ip,IP_range,IP_description,IP_Country
AS8075,Microsoft Corporation,US,Global,13.107.246.48,13.104.0.0/14,Microsoft Corporation,US
AS8075,Microsoft Corporation,US,Global,104.44.230.56,104.40.0.0/13,Microsoft Corporation,US
AS8075,Microsoft Corporation,US,Global,104.44.30.201,104.40.0.0/13,Microsoft Corporation,US
AS8075,Microsoft Corporation,US,Global,104.44.12.6,104.40.0.0/13,Microsoft Corporation,US
AS8075,Microsoft Corporation,US,Global,13.107.246.46,13.104.0.0/14,Microsoft Corporation,US
AS8075,Microsoft Corporation,US,Global,13.104.182.215,13.104.0.0/14,Microsoft Corporation,US
AS8075,Microsoft Corporation,US,Global,104.44.236.182,104.40.0.0/13,Microsoft Corporation,US
AS8075,Microsoft Corporation,US,Global,104.44.235.188,104.40.0.0/13,Microsoft Corporation,US
AS8075,Microsoft Corporation,US,Global,104.44.212.200,104.40.0.0/13,Microsoft Corporation,US
AS8075,Microsoft Corporation,US,Global,104.44.34.38,104.40.0.0/13,Microsoft Corporation,US
AS8075,Microsoft Corporation,US,Global,13.107.213.48,13.104.0.0/14,Microsoft Corporation,US
AS8560,"This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE.",DE,Global,212.227.120.11,212.227.0.0/16,,DE
AS8560,"This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE.",DE,Global,212.227.117.208,212.227.0.0/16,,DE
AS8560,"This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE.",DE,Global,217.160.0.86,217.160.0.0/16,,DE
AS8560,"This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE.",DE,Global,212.227.117.207,212.227.0.0/16,,DE
AS8560,"This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE.",DE,Global,212.227.120.32,212.227.0.0/16,,DE
AS8560,"This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE.",DE,Global,212.227.117.4,212.227.0.0/16,,DE
AS8560,"This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE.",DE,Global,212.227.121.28,212.227.0.0/16,,DE
AS8560,"This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE.",DE,Global,212.227.116.221,212.227.0.0/16,,DE
AS8560,"This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE.",DE,Global,212.227.121.9,212.227.0.0/16,,DE
AS8560,"This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE.",DE,Global,212.227.120.40,212.227.0.0/16,,DE
AS8560,"This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE.",DE,Global,212.227.120.229,212.227.0.0/16,,DE
AS9607,"BroadBand Tower, Inc.",JP,Global,211.14.4.178,211.14.0.0/21,Japan Network Information Center,JP
AS9607,"BroadBand Tower, Inc.",JP,Global,211.14.4.177,211.14.0.0/21,Japan Network Information Center,JP
AS9607,"BroadBand Tower, Inc.",JP,Global,211.14.4.222,211.14.0.0/21,Japan Network Information Center,JP
